session_id,participant_id,status,started_datetime,completed_date_time,time_taken,age,num_approvals,num_rejections,prolific_score,reviewed_at_datetime,entered_code,Country of Birth,Current Country of Residence,Employment Status,First Language,Fluent languages,Nationality,Sex,Student Status
604df067c7a2678d9780a144,5f9c5b04b6dc1f0e57fb3f67,APPROVED,2021-03-14 11:15:51.704000,2021-03-14 11:35:03.785000,1152.081,18,58,1,100,2021-03-14 12:09:54.022000,327BD730,Poland,Poland,Other,DATA EXPIRED,"Polish, English",Poland,Male,Yes
604df0ef1a2cbe4f8d374504,5f91a6a3bf465603b001c166,APPROVED,2021-03-14 11:18:07.139000,2021-03-14 11:56:41.023000,2313.884,,58,0,100,2021-03-14 12:19:08.261000,327BD730,Poland,Poland,Unemployed (and job seeking),DATA EXPIRED,"Polish, English, German",Poland,Male,Yes
604df3720e476f3d931d859e,5fc4cbf9ce54980bb4ed82d8,APPROVED,2021-03-14 11:29:28.500000,2021-03-14 11:42:37.663000,789.163,23,32,0,100,2021-03-14 12:19:38.505000,327BD730,Poland,Poland,Unemployed (and job seeking),,"English, Polish",Poland,Male,Yes
604df394b6b6fb589dc4dbc9,5f93eb0c092fa01d2ed5da10,REJECTED,2021-03-14 11:29:27.249000,2021-03-14 11:29:57.024000,29.775,18,41,1,100,2021-03-14 12:20:17.542000,327BD730,Poland,Poland,Full-Time,DATA EXPIRED,"Polish, English",Poland,Female,No
604df4aba7549b0e7a690b2c,6005c01be34dba4d8e9f3b39,APPROVED,2021-03-14 11:34:03.745000,2021-03-14 11:55:54.272000,1310.527,19,57,0,100,2021-03-14 12:21:13.430000,327BD730,Portugal,Portugal,Other,DATA EXPIRED,"English, Portuguese",Portugal,Female,Yes
604df7f80273f01d2478d603,6001ba7b44049f0dbeff2fea,APPROVED,2021-03-14 11:48:08.390000,2021-03-14 12:08:08.131000,1199.741,21,53,0,100,2021-03-14 12:24:36.640000,327BD730,Italy,Italy,Unemployed (and job seeking),DATA EXPIRED,"English, Italian",Italy,Male,Yes
604df91c0a8e6e0975365af1,5f9c70519242e010e0f1c608,APPROVED,2021-03-14 11:53:00.912000,2021-03-14 12:05:46.315000,765.403,25,92,2,98,2021-03-14 12:24:54.039000,327BD730,Italy,Italy,Other,DATA EXPIRED,"English, Italian, Japanese",Italy,Male,Yes
604dfb3f0642089514b6d5e1,5915bacd0a4b9d0001add6d5,RETURNED,2021-03-14 12:02:07.567000,,4312052.102873,24,345,1,100,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
604dfb6fdb373b9fcdfc46a8,6037e93aecb86c088be568aa,APPROVED,2021-03-14 12:02:55.449000,2021-03-14 12:27:57.889000,1502.44,21,27,2,96,2021-03-14 12:29:58.020000,327BD730,Hungary,Hungary,Other,DATA EXPIRED,"English, Hungarian",Hungary,Male,Yes
604dfba80907a8bdc0b93284,5f6d9723b4a3d2212bd83eee,RETURNED,2021-03-14 12:03:52.538000,2021-03-14 12:22:45.438000,1132.9,19,125,0,100,2021-03-14 12:27:28.449000,327BD730,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
604dfc76aa3f60ad51f4e35d,5f9699855237d2000cb00fcc,APPROVED,2021-03-14 12:07:56.350000,2021-03-14 12:21:06.011000,789.661,21,61,0,100,2021-03-14 12:29:48.248000,327BD730,Italy,Poland,Unemployed (and job seeking),DATA EXPIRED,"Polish, English",Poland,Male,Yes
604dfe4e54946b58143d1cb6,5ea3066769713007dfc5f1c3,APPROVED,2021-03-14 12:15:10.876000,2021-03-14 12:25:57.202000,646.326,24,171,6,96,2021-03-14 12:29:31.252000,327BD730,Portugal,Portugal,Part-Time,Portuguese,"English, Portuguese, Spanish",Portugal,Female,Yes
604dff8136dd32aa123b55f6,5f9aba6600cdf11f1c9b915c,APPROVED,2021-03-14 12:20:17.662000,2021-03-14 13:28:11.303000,4073.641,25,142,2,100,2021-03-14 13:52:48.817000,327BD730,Poland,Poland,Full-Time,DATA EXPIRED,"English, German, Polish, Portuguese, Russian",Poland,Male,Yes
604e01386ffaecb9ad7c4208,5efa1c514003e68155b99a93,APPROVED,2021-03-14 12:27:36.533000,2021-03-14 12:43:29.389000,952.856,20,238,1,100,2021-03-14 12:44:51.869000,327BD730,United Kingdom,Slovenia,"Not in paid work (e.g. homemaker', 'retired or disabled)",English,"English, Slovenian",United Kingdom,Male,Yes
