"A","A1","A2","A3","B","B1","B2","B3","NewAnswers","Outcome","RatingA","RatingB","RatingX","Responses000","Responses050","Responses100","Stim1","Stim2","T1","T10","T11","T12","T13","T14","T15","T16","T2","T3","T4","T5","T6","T7","T8","T9","Trial","X","X1","X2","X3","background","block1","block2","block3","canvas_backend","clock_backend","color_backend","compensation","coordinates","count_Cond000Outcome","count_Cond000Sequence","count_Cond000Stim","count_Cond050Outcome","count_Cond050Sequence","count_Cond050Stim","count_Cond100Outcome","count_Cond100Sequence","count_Cond100Stim","count_Conditions_Stimuli","count_Current_Problems","count_Explanation","count_Introduction","count_Stimuli","count_Testphaseintro","count_To_dos","count__000","count__050","count__100","count_experiment","count_main_sequence","count_new_form_text_display","count_new_logger","count_new_logger_1","count_new_logger_1_1","count_new_sketchpad_1","count_new_sketchpad_2","count_test_phase","count_training_phase","count_welcome","datetime","description","disable_garbage_collection","empty_column","experiment_file","experiment_path","font_bold","font_family","font_italic","font_size","font_underline","foreground","form_clicks","form_response","fullscreen","height","j","k","keyboard_backend","l","live_row","live_row__050","live_row_training_phase","locations","logfile","mouse_backend","opensesame_codename","opensesame_version","pos1","pos1X","pos1Y","pos2","pos2X","pos2Y","repeat_cycle","response","response_new_sketchpad_1","response_new_sketchpad_2","response_time","response_time_new_sketchpad_1","response_time_new_sketchpad_2","response_time_welcome","response_welcome","round_decimals","rs1","rs2","sampler_backend","sound_buf_size","sound_channels","sound_freq","sound_sample_size","start","subject_nr","subject_parity","temp","time_Cond000Outcome","time_Cond000Sequence","time_Cond000Stim","time_Cond050Outcome","time_Cond050Sequence","time_Cond050Stim","time_Cond100Outcome","time_Cond100Sequence","time_Cond100Stim","time_Conditions_Stimuli","time_Current_Problems","time_Explanation","time_Introduction","time_Stimuli","time_Testphaseintro","time_To_dos","time__000","time__050","time__100","time_experiment","time_main_sequence","time_new_form_text_display","time_new_logger","time_new_logger_1","time_new_logger_1_1","time_new_sketchpad_1","time_new_sketchpad_2","time_test_phase","time_training_phase","time_welcome","title","uniform_coordinates","width"
"[A2]","Acorn.png","flower.png","lof.png","[B2]","shoe.png","Marble.png","fork.png","   ResponsesA  ResponsesB  ResponsesX
0           7           8           7","Diamond.png","7","8","7","Empty DataFrame
Columns: [ResponsesA, ResponsesB, ResponsesX]
Index: []","   ResponsesA  ResponsesB  ResponsesX
0           7           8           7","Empty DataFrame
Columns: [ResponsesA, ResponsesB, ResponsesX]
Index: []","[A2]","[X2]","<libopensesame.widgets.widget_factory.Label object at 0x0000019F05FC24C8>","<libopensesame.widgets.widget_factory.Label object at 0x0000019F03B32A08>","<libopensesame.widgets.widget_factory.Label object at 0x0000019F03B32D88>","<libopensesame.widgets.widget_factory.Label object at 0x0000019F03B32D08>","<libopensesame.widgets.widget_factory.Label object at 0x0000019F03B32A88>","<libopensesame.widgets.widget_factory.Label object at 0x0000019F03B32B88>","<libopensesame.widgets.widget_factory.Label object at 0x0000019F03B32248>","<libopensesame.widgets.widget_factory.Label object at 0x0000019F03B32D48>","<libopensesame.widgets.widget_factory.Label object at 0x0000019F05FC27C8>","<libopensesame.widgets.widget_factory.Label object at 0x0000019F05FC2248>","<libopensesame.widgets.widget_factory.Label object at 0x0000019F05FC28C8>","<libopensesame.widgets.widget_factory.Label object at 0x0000019F05FC2B48>","<libopensesame.widgets.widget_factory.Label object at 0x0000019F03B32408>","<libopensesame.widgets.widget_factory.Label object at 0x0000019F03B328C8>","<libopensesame.widgets.widget_factory.Label object at 0x0000019F03B32C88>","<libopensesame.widgets.widget_factory.Label object at 0x0000019F03B32E48>","1","[X2]","Footsteps.png","beetle.png","Playing Card.png","#f1f1f1","2","0","1","psycho","psycho","psycho","0","uniform","NA","NA","NA","0","0","0","NA","NA","NA","0","0","0","0","NA","0","0","0","0","0","0","0","NA","NA","0","NA","NA","NA","NA","0","NA","Mon Jan 18 11:29:51 2021","The main experiment item","yes","","Experiment1.osexp","C:\Users\Sanne\Dropbox\MasterProject\Experiments","no","mono","no","18","no","#000000","no","Next","no","768","NA","NA","psycho","NA","0","0","0","[[0, 0], [0, 1], [0, 2], [0, 3], [0, 4], [0, 5], [0, 6], [0, 7], [0, 8], [0, 9], [0, 10], [0, 11], [0, 12], [0, 13], [2, 0], [2, 1], [2, 2], [2, 3], [2, 4], [2, 5], [2, 6], [2, 7], [2, 8], [2, 9], [2, 10], [2, 11], [2, 12], [2, 13]]","C:/Users/Sanne/Dropbox/MasterProject/Experiments/subj/subject-0.csv","psycho","Lentiform Loewenfeld","3.3.6","[2, 10]","2","10","[0, 10]","0","10","0","NA","NA","NA","NA","NA","NA","NA","NA","2","4","4","psycho","1024","2","48000","-16","experiment","0","even","[[0, 0], [0, 1], [0, 2], [0, 3], [0, 4], [0, 5], [0, 6], [0, 7], [0, 8], [0, 9], [0, 10], [0, 11], [0, 12], [0, 13]]","NA","NA","NA","12919.215399999302","12919.095699999161","12919.19929999949","NA","NA","NA","5241.04719999923","NA","5712.640499999907","5247.257899999568","NA","NA","NA","NA","5942.2546999994665","NA","5240.867499999695","5942.186199999924","NA","NA","12919.228299999304","NA","NA","NA","NA","5941.564699999617","NA","Experiment1","yes","1024"
"[A2]","Acorn.png","flower.png","lof.png","[B2]","shoe.png","Marble.png","fork.png","   ResponsesA  ResponsesB  ResponsesX
0           7           8           7","NoDiamond.png","7","8","7","Empty DataFrame
Columns: [ResponsesA, ResponsesB, ResponsesX]
Index: []","   ResponsesA  ResponsesB  ResponsesX
0           7           8           7
1           7           8           7","Empty DataFrame
Columns: [ResponsesA, ResponsesB, ResponsesX]
Index: []","[B2]","[X2]","<libopensesame.widgets.widget_factory.Label object at 0x0000019F05FD3748>","<libopensesame.widgets.widget_factory.Label object at 0x0000019F14608308>","<libopensesame.widgets.widget_factory.Label object at 0x0000019F146081C8>","<libopensesame.widgets.widget_factory.Label object at 0x0000019F13F55B08>","<libopensesame.widgets.widget_factory.Label object at 0x0000019F13F551C8>","<libopensesame.widgets.widget_factory.Label object at 0x0000019F13F557C8>","<libopensesame.widgets.widget_factory.Label object at 0x0000019F13F55908>","<libopensesame.widgets.widget_factory.Label object at 0x0000019F13F55A88>","<libopensesame.widgets.widget_factory.Label object at 0x0000019F05FD3248>","<libopensesame.widgets.widget_factory.Label object at 0x0000019F05FD36C8>","<libopensesame.widgets.widget_factory.Label object at 0x0000019F05FD3348>","<libopensesame.widgets.widget_factory.Label object at 0x0000019F05FD33C8>","<libopensesame.widgets.widget_factory.Label object at 0x0000019F05FD3CC8>","<libopensesame.widgets.widget_factory.Label object at 0x0000019F05FD3708>","<libopensesame.widgets.widget_factory.Label object at 0x0000019F05FD3A48>","<libopensesame.widgets.widget_factory.Label object at 0x0000019F14608BC8>","2","[X2]","Footsteps.png","beetle.png","Playing Card.png","#f1f1f1","2","0","1","psycho","psycho","psycho","0","uniform","NA","NA","NA","1","1","1","NA","NA","NA","0","0","0","0","NA","0","0","0","0","0","0","0","NA","NA","1","NA","NA","NA","NA","0","NA","Mon Jan 18 11:29:51 2021","The main experiment item","yes","","Experiment1.osexp","C:\Users\Sanne\Dropbox\MasterProject\Experiments","no","mono","no","18","no","#000000","no","Next","no","768","7","8","psycho","7","1","1","0","[[0, 0], [0, 1], [0, 2], [0, 3], [0, 4], [0, 5], [0, 6], [0, 7], [0, 8], [0, 9], [0, 10], [0, 11], [0, 12], [0, 13], [2, 0], [2, 1], [2, 2], [2, 3], [2, 4], [2, 5], [2, 6], [2, 7], [2, 8], [2, 9], [2, 10], [2, 11], [2, 12], [2, 13]]","C:/Users/Sanne/Dropbox/MasterProject/Experiments/subj/subject-0.csv","psycho","Lentiform Loewenfeld","3.3.6","[2, 12]","2","12","[0, 8]","0","8","0","NA","NA","NA","NA","NA","NA","NA","NA","2","4","4","psycho","1024","2","48000","-16","experiment","0","even","[[0, 0], [0, 1], [0, 2], [0, 3], [0, 4], [0, 5], [0, 6], [0, 7], [0, 8], [0, 9], [0, 10], [0, 11], [0, 12], [0, 13]]","NA","NA","NA","17836.087199999383","17836.02659999997","17836.071799999445","NA","NA","NA","5241.04719999923","NA","5712.640499999907","5247.257899999568","NA","NA","NA","NA","5942.2546999994665","NA","5240.867499999695","5942.186199999924","NA","NA","17836.100099999385","NA","NA","NA","NA","5941.564699999617","NA","Experiment1","yes","1024"
"[A2]","Acorn.png","flower.png","lof.png","[B2]","shoe.png","Marble.png","fork.png","   ResponsesA  ResponsesB  ResponsesX
0           6           7           8","Diamond.png","6","7","8","Empty DataFrame
Columns: [ResponsesA, ResponsesB, ResponsesX]
Index: []","   ResponsesA  ResponsesB  ResponsesX
0           7           8           7
1           7           8           7
2           6           7           8","Empty DataFrame
Columns: [ResponsesA, ResponsesB, ResponsesX]
Index: []","[B2]","[X2]","<libopensesame.widgets.widget_factory.Label object at 0x0000019F03985CC8>","<libopensesame.widgets.widget_factory.Label object at 0x0000019F03985AC8>","<libopensesame.widgets.widget_factory.Label object at 0x0000019F03985888>","<libopensesame.widgets.widget_factory.Label object at 0x0000019F03985088>","<libopensesame.widgets.widget_factory.Label object at 0x0000019F03985548>","<libopensesame.widgets.widget_factory.Label object at 0x0000019F03985248>","<libopensesame.widgets.widget_factory.Label object at 0x0000019F03985348>","<libopensesame.widgets.widget_factory.Label object at 0x0000019F03985C08>","<libopensesame.widgets.widget_factory.Label object at 0x0000019F039857C8>","<libopensesame.widgets.widget_factory.Label object at 0x0000019F03985808>","<libopensesame.widgets.widget_factory.Label object at 0x0000019F03985E08>","<libopensesame.widgets.widget_factory.Label object at 0x0000019F03985908>","<libopensesame.widgets.widget_factory.Label object at 0x0000019F03985E88>","<libopensesame.widgets.widget_factory.Label object at 0x0000019F039856C8>","<libopensesame.widgets.widget_factory.Label object at 0x0000019F03985648>","<libopensesame.widgets.widget_factory.Label object at 0x0000019F03985608>","3","[X2]","Footsteps.png","beetle.png","Playing Card.png","#f1f1f1","2","0","1","psycho","psycho","psycho","0","uniform","NA","NA","NA","2","2","2","NA","NA","NA","0","0","0","0","NA","0","0","0","0","0","0","0","NA","NA","2","NA","NA","NA","NA","0","NA","Mon Jan 18 11:29:51 2021","The main experiment item","yes","","Experiment1.osexp","C:\Users\Sanne\Dropbox\MasterProject\Experiments","no","mono","no","18","no","#000000","no","Next","no","768","7","8","psycho","7","2","2","0","[[0, 0], [0, 1], [0, 2], [0, 3], [0, 4], [0, 5], [0, 6], [0, 7], [0, 8], [0, 9], [0, 10], [0, 11], [0, 12], [0, 13], [2, 0], [2, 1], [2, 2], [2, 3], [2, 4], [2, 5], [2, 6], [2, 7], [2, 8], [2, 9], [2, 10], [2, 11], [2, 12], [2, 13]]","C:/Users/Sanne/Dropbox/MasterProject/Experiments/subj/subject-0.csv","psycho","Lentiform Loewenfeld","3.3.6","[0, 10]","0","10","[2, 3]","2","3","0","NA","NA","NA","NA","NA","NA","NA","NA","2","4","4","psycho","1024","2","48000","-16","experiment","0","even","[[2, 0], [2, 1], [2, 2], [2, 3], [2, 4], [2, 5], [2, 6], [2, 7], [2, 8], [2, 9], [2, 10], [2, 11], [2, 12], [2, 13]]","NA","NA","NA","23190.66439999915","23190.600599999925","23190.648499999952","NA","NA","NA","5241.04719999923","NA","5712.640499999907","5247.257899999568","NA","NA","NA","NA","5942.2546999994665","NA","5240.867499999695","5942.186199999924","NA","NA","23190.67829999949","NA","NA","NA","NA","5941.564699999617","NA","Experiment1","yes","1024"
